"GHIN","handicap_index","course_name","date","tees","course_rating","hole","par","hole_handicap","handicap_stroke","gross","net","OUT","IN","tot_FIR","tot_GIR","tot_putts","tot_chips","tot_penalties","tot_gross","tot_net","is_gross_birdie","is_gross_eagle_better","is_gross_par","is_gross_bogey","is_gross_bogey_worse","is_net_birdie","is_net_eagle_better","is_net_par","is_net_bogey","is_net_bogey_worse","FIR","OUT_FIR","IN_FIR","GIR","OUT_GIR","IN_GIR","putts","OUT_putts","IN_putts","chips","OUT_chips","IN_chips","penalties","OUT_penalties","IN_penalties","tee_club"
"10526424",10.2,"Silverbell",2026-01-18,"white",68.9,1,4,5,0,4,4,42,45,5,6,35,12,0,87,76,0,0,1,0,0,0,0,1,0,0,0,2,3,0,4,2,1,17,18,1,4,8,0,0,0,"4"
"10526424",10.2,"Silverbell",2026-01-18,"white",68.9,2,5,3,0,6,6,42,45,5,6,35,12,0,87,76,0,0,0,1,0,0,0,0,1,0,0,2,3,0,4,2,2,17,18,0,4,8,0,0,0,"D"
"10526424",10.2,"Silverbell",2026-01-18,"white",68.9,3,3,17,-1,4,3,42,45,5,6,35,12,0,87,76,0,0,0,1,0,0,0,1,0,0,0,2,3,0,4,2,1,17,18,1,4,8,0,0,0,"GW"
"10526424",10.2,"Silverbell",2026-01-18,"white",68.9,4,4,9,-1,4,3,42,45,5,6,35,12,0,87,76,0,0,1,0,0,1,0,0,0,0,1,2,3,1,4,2,2,17,18,0,4,8,0,0,0,"D"
"10526424",10.2,"Silverbell",2026-01-18,"white",68.9,5,4,13,-1,6,5,42,45,5,6,35,12,0,87,76,0,0,0,0,1,0,0,0,1,0,1,2,3,0,4,2,2,17,18,2,4,8,0,0,0,"D"
"10526424",10.2,"Silverbell",2026-01-18,"white",68.9,6,3,11,-1,4,3,42,45,5,6,35,12,0,87,76,0,0,0,1,0,0,0,1,0,0,0,2,3,1,4,2,3,17,18,0,4,8,0,0,0,"7"
"10526424",10.2,"Silverbell",2026-01-18,"white",68.9,7,5,1,0,5,5,42,45,5,6,35,12,0,87,76,0,0,1,0,0,0,0,1,0,0,0,2,3,1,4,2,2,17,18,0,4,8,0,0,0,"D"
"10526424",10.2,"Silverbell",2026-01-18,"white",68.9,8,4,7,0,6,6,42,45,5,6,35,12,0,87,76,0,0,0,0,1,0,0,0,0,1,0,2,3,0,4,2,2,17,18,0,4,8,0,0,0,"4"
"10526424",10.2,"Silverbell",2026-01-18,"white",68.9,9,3,15,-1,3,2,42,45,5,6,35,12,0,87,76,0,0,1,0,0,1,0,0,0,0,0,2,3,1,4,2,2,17,18,0,4,8,0,0,0,"8"
"10526424",10.2,"Silverbell",2026-01-18,"white",68.9,10,4,14,-1,5,4,42,45,5,6,35,12,0,87,76,0,0,0,1,0,0,0,1,0,0,1,2,3,1,4,2,3,17,18,0,4,8,0,0,0,"D"
