"course_name","lat","long","tees","to_par","slope","course_rating","hole","yds","par","hole_handicap"
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,1,344,4,10
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,2,518,5,2
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,3,302,4,18
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,4,168,3,8
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,5,489,5,4
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,6,138,3,16
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,7,359,4,12
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,8,292,4,14
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,9,192,3,6
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,10,412,4,3
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,11,547,5,1
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,12,169,3,17
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,13,435,4,9
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,14,387,4,7
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,15,376,4,5
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,16,335,4,13
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,17,172,3,11
"Arizona National",32.2996506,-110.7839318,"blue",71,132,68,18,497,5,15
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,1,344,4,10
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,2,518,5,2
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,3,302,4,18
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,4,168,3,8
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,5,489,5,4
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,6,138,3,16
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,7,359,4,12
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,8,292,4,14
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,9,192,3,6
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,10,372,4,3
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,11,477,5,1
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,12,161,3,17
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,13,377,4,9
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,14,343,4,7
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,15,346,4,5
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,16,273,4,13
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,17,131,3,11
"Arizona National",32.2996506,-110.7839318,"combo",71,127,67,18,433,5,15
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,1,319,4,10
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,2,508,5,2
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,3,272,4,18
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,4,137,3,8
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,5,468,5,4
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,6,129,3,16
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,7,328,4,12
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,8,266,4,14
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,9,165,3,6
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,10,372,4,3
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,11,477,5,1
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,12,161,3,17
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,13,377,4,9
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,14,343,4,7
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,15,346,4,5
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,16,273,4,13
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,17,131,3,11
"Arizona National",32.2996506,-110.7839318,"white",71,124,65,18,433,5,15
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,1,370,4,4
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,2,170,3,18
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,3,373,4,10
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,4,575,5,8
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,5,375,4,14
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,6,485,4,12
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,7,134,3,16
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,8,550,5,2
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,9,396,4,6
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,10,381,4,9
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,11,527,5,7
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,12,360,4,11
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,13,175,3,15
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,14,429,4,5
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,15,590,5,1
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,16,252,3,17
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,17,375,4,3
"Crooked Tree",32.374983,-111.0558353,"blue",72,133,72,18,443,4,13
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,1,370,4,4
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,2,170,3,18
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,3,373,4,10
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,4,575,5,8
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,5,375,4,14
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,6,364,4,12
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,7,134,3,16
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,8,512,5,2
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,9,396,4,6
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,10,381,4,9
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,11,527,5,7
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,12,360,4,11
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,13,175,3,15
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,14,397,4,5
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,15,521,5,1
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,16,252,3,17
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,17,375,4,3
"Crooked Tree",32.374983,-111.0558353,"combo",72,129,70,18,352,4,13
"Crooked Tree",32.374983,-111.0558353,"white",72,123,68,1,336,4,4
"Crooked Tree",32.374983,-111.0558353,"white",72,123,68,2,153,3,18
"Crooked Tree",32.374983,-111.0558353,"white",72,123,68,3,349,4,10
"Crooked Tree",32.374983,-111.0558353,"white",72,123,68,4,490,5,8
"Crooked Tree",32.374983,-111.0558353,"white",72,123,68,5,347,4,14
"Crooked Tree",32.374983,-111.0558353,"white",72,123,68,6,364,4,12
"Crooked Tree",32.374983,-111.0558353,"white",72,123,68,7,130,3,16
"Crooked Tree",32.374983,-111.0558353,"white",72,123,68,8,512,5,2
