"course_name","date","tees","hole","par","gross","stroke","lie","club","yds_to_target","yds_traveled","on_target","miss_direction","shot_type"
"Randolph North","2026-01-04","combo","hole_9",5,5,2,"rough","4",220,220,"yes","short","full"
"Dell Urich","2026-01-11","combo","hole_13",5,4,2,"rough","9",155,155,"yes","on_target","full"
"Silverbell","2026-01-18","white","hole_8",4,6,3,"sand","LW",20,0,"no","short","gsbunker"
"Silverbell","2026-01-18","white","hole_17",4,5,4,"fairway","7",5,13,"yes","on_target","chip"
"Randolph North","2026-01-25","combo","hole_2",4,6,1,"tee","D",260,242,"yes","on_target","full"
"Randolph North","2026-01-25","combo","hole_3",5,6,2,"rough","5",200,198,"no","right","full"
"Randolph North","2026-01-25","combo","hole_12",4,5,1,"tee","D",260,220,"no","right","full"
"Randolph North","2026-01-25","combo","hole_16",5,5,3,"fairway","GW",50,52,"yes","on_target","choked"
"Randolph North","2026-02-08","combo","hole_2",4,5,1,"tee","D",270,302,"no","right","full"
"Randolph North","2026-02-08","combo","hole_5",4,4,2,"rough","PW",140,129,"yes","on_target","full"
"Randolph North","2026-02-08","combo","hole_9",5,5,2,"rough","5",200,214,"no","long","full"
"Dell Urich","2026-02-22","combo","hole_3",5,5,1,"tee","D",270,6,"no","left","full"
"Dell Urich","2026-02-22","combo","hole_3",5,5,4,"fairway","PW",20,218,"yes","on_target","chip"
"Dell Urich","2026-02-22","combo","hole_6",5,5,1,"tee","D",270,260,"yes","on_target","full"
"Dell Urich","2026-02-22","combo","hole_12",4,4,2,"fairway","GW",108,108,"yes","on_target","choked"
"Dell Urich","2026-02-22","combo","hole_16",4,4,2,"rough","8",165,164,"yes","on_target","full"
"Randolph North","2026-03-08","blue","hole_10",4,6,3,"fairway","SW",75,74,"no","right","choked"
"Randolph North","2026-03-08","blue","hole_18",4,6,2,"rough","5",120,116,"no","short","punch"
"Dell Urich","2026-03-29","blue","hole_5",3,5,2,"fairway","SW",20,10,"no","short","chip"
"Dell Urich","2026-03-29","blue","hole_7",4,5,2,"fairway","8",165,194,"no","long","full"
"Dell Urich","2026-03-29","blue","hole_13",5,4,3,"fairway","PW",23,22,"yes","on_target","chip"
"Dell Urich","2026-03-29","blue","hole_15",4,3,2,"rough","9",155,159,"yes","on_target","full"
"Dell Urich","2026-03-29","blue","hole_18",4,5,3,"rough","GW",100,103,"yes","on_target","choked"
"Randolph North","2026-04-05","blue","hole_4",4,5,1,"tee","D",270,259,"yes","on_target","tee"
"Randolph North","2026-04-05","blue","hole_9",5,6,4,"rough","GW",21,21,"no","short","chip"
"Randolph North","2026-04-05","blue","hole_12",4,5,2,"fairway","GW",120,69,"no","short","full"
"Randolph North","2026-04-19","blue","hole_3",5,6,3,"fairway","GW",89,72,"no","short","choked"
"Randolph North","2026-04-19","blue","hole_9",5,8,2,"rough","3W",250,183,"no","short","full"
"Randolph North","2026-04-19","blue","hole_9",5,8,3,"rough","SW",65,125,"no","long","choked"
"Randolph North","2026-04-19","blue","hole_16",5,5,2,"fairway","3W",250,257,"no","right","full"
"Dell Urich","2026-04-26","combo","hole_6",5,7,2,"fairway","4",210,47,"no","left","punch"
"Dell Urich","2026-04-26","combo","hole_10",4,4,2,"rough","9",140,139,"no","left","full"
"Dell Urich","2026-04-26","combo","hole_15",4,4,1,"tee","D",270,292,"yes","on_target","tee"
"Randolph North","2026-01-04","combo","hole_1",4,5,1,"tee","4",220,220,"yes","on_target","full"
"Dell Urich","2026-01-11","combo","hole_4",4,6,4,"rough","GW",95,80,"no","short","choked"
"Dell Urich","2026-01-11","combo","hole_8",4,5,1,"tee","D",250,223,"no","right","full"
"Silverbell","2026-01-18","white","hole_4",4,4,2,"fairway","8",160,159,"yes","on_target","full"
"Randolph North","2026-01-25","combo","hole_3",5,6,3,"rough","GW",34,54,"yes","on_target","choked"
"Randolph North","2026-01-25","combo","hole_5",4,5,2,"fairway","9",155,135,"no","short","full"
"Randolph North","2026-01-25","combo","hole_16",5,5,2,"rough","4",200,174,"yes","on_target","punch"
"Randolph North","2026-02-08","combo","hole_17",4,6,4,"fairway","PW",20,21,"yes","on_target","chip"
"Dell Urich","2026-02-22","combo","hole_2",3,3,1,"tee","9",161,155,"yes","on_target","full"
