"course_name","date","tees","hole","par","gross","stroke","lie","club","yds_to_target","yds_traveled","on_target","miss_direction","shot_type"
"Randolph North",2026-01-25,"combo","hole_1",4,4,1,"tee","D","260.0","255.0","no","right","full"
"Randolph North",2026-01-25,"combo","hole_1",4,4,2,"rough","GW","110.0","104.0","no","right","choked"
"Randolph North",2026-01-25,"combo","hole_2",4,6,1,"tee","D","260.0","242.0","yes","on_target","full"
"Randolph North",2026-01-25,"combo","hole_2",4,6,2,"fairway","GW","91.0","121.0","no","long","choked"
"Randolph North",2026-01-25,"combo","hole_3",5,6,1,"tee","D","260.0","288.0","no","right","full"
"Randolph North",2026-01-25,"combo","hole_3",5,6,2,"rough","5","200.0","198.0","no","right","full"
"Randolph North",2026-01-25,"combo","hole_3",5,6,3,"rough","GW","34.0","54.0","yes","on_target","choked"
"Randolph North",2026-01-25,"combo","hole_4",4,4,1,"tee","D","260.0","249.0","no","right","full"
"Randolph North",2026-01-25,"combo","hole_4",4,4,2,"rough","8","160.0","158.0","yes","on_target","full"
"Randolph North",2026-01-25,"combo","hole_5",4,5,1,"tee","D","260.0","280.0","yes","on_target","full"
"Randolph North",2026-01-25,"combo","hole_5",4,5,2,"fairway","9","155.0","135.0","no","short","full"
"Randolph North",2026-01-25,"combo","hole_6",3,4,1,"tee","PW","140.0","141.0","yes","on_target","full"
"Randolph North",2026-01-25,"combo","hole_7",4,5,1,"tee","D","260.0","275.0","no","right","full"
"Randolph North",2026-01-25,"combo","hole_7",4,5,2,"rough","GW","100.0","81.0","no","short","choked"
"Randolph North",2026-01-25,"combo","hole_8",3,3,1,"tee","7","170.0","174.0","no","right","full"
"Randolph North",2026-01-25,"combo","hole_9",5,6,1,"tee","D","260.0","212.0","yes","short","full"
"Randolph North",2026-01-25,"combo","hole_9",5,6,2,"fairway","3W","240.0","222.0","no","right","full"
"Randolph North",2026-01-25,"combo","hole_10",4,5,1,"tee","D","260.0","251.0","yes","on_target","full"
"Randolph North",2026-01-25,"combo","hole_10",4,5,2,"fairway","9","150.0","138.0","no","short","full"
"Randolph North",2026-01-25,"combo","hole_11",3,4,1,"tee","6","190.0","180.0","no","right","full"
"Randolph North",2026-01-25,"combo","hole_12",4,5,1,"tee","D","260.0","220.0","no","right","full"
"Randolph North",2026-01-25,"combo","hole_13",5,5,1,"tee","D","260.0","275.0","no","left","full"
"Randolph North",2026-01-25,"combo","hole_13",5,5,2,"rough","4","200.0","171.0","no","right","full"
"Randolph North",2026-01-25,"combo","hole_14",4,5,1,"tee","D","260.0","230.0","no","right","full"
"Randolph North",2026-01-25,"combo","hole_14",4,5,2,"rough","8","200.0","210.0","no","left","punch"
